lon,lat,adresse,code_postal,ville,departement,dep_txt,nom_structure,url_lieu,contact_email,contact_tel,source,url_illustration,code_access,code_label
5.049559,47.364205,38 Avenue Françoise Giroud,21000,DIJON,21,D_21,Onlineformapro,,,03 84 76 90 83,,,O,APTIC
5.069047,47.329680,14  rue Camille Claudel,21000,DIJON,21,D_21,PANDA Grésilles,,,03 80 48 84 14,,,M,APTIC-DM
4.491110,47.130870,3 rue de la Gare,21230,ARNAY LE DUC,21,D_21,Centre social et socioculturel du Pays d'Arnay,,,03 80 90 17 55,,,I,APTIC
5.008640,47.289688,7 rue de Longvic,21300,CHENOVE,21,D_21,MJC Chenôve,,,03 80 52 18 64,,,F,APTIC
5.061143,47.285342,Mairie de Longvic - Allée de la Mairie - BP 77,21600,LONGVIC,21,D_21,Médiathèque Michel Etiévant,,,03 80 68 21 60,,,M,APTIC
6.029680,47.234900,2 rue Victor Hugo,25000,BESANCON,25,D_25,AC agir ensemble contre le chômage,,,06 83 91 97 70,,,F,APTIC
5.972170,47.218000,4 Avenue du Parc,25000,BESANCON,25,D_25,DigiFab,http://digifab.fr/,azouz@digifab.fr,06 77 39 41 45,,,F,APTIC
5.973622,47.219166,10 rue Pablo Picasso,25000,BESANCON,25,D_25,Onlineformapro,,,03 84 76 90 83,,,O,
6.052119,47.264612,2b chemin de Palente,25000,BESANCON,25,D_25,Onlineformapro,,,03 84 76 90 83,,,O,APTIC
6.402337,46.834637,52 Grande Rue,25300,LES FOURGS,25,D_25,d@vp@il,,,06 77 90 98 95,,,O,APTIC
6.736854,47.480477,41  grande rue,25550,BAVANS,25,D_25,Association Gestion Actions Socio Culturelles,,,03 81 92 64 25,,,F-I,APTIC
5.571681,46.677747,1025 rue des gentianes,39003,LONS LE SAUNIER,39,D_39,Association Maison commune,,,03 84 47 58 15,,,F,APTIC
5.498227,47.084708,31  rue Julien Feuvrier,39100,DOLE,39,D_39,Savoirs et formation,,,09 50 48 08 84,,,O,APTIC
5.451784,46.802739,5  place du général Michelin,39140,COMMENAILLES,39,D_39,FabLab Atelier Made in iKi,http://madeiniki.org,,06 28 21 65 77,,,F,APTIC
5.909479,46.748612,2 rue de l'égalité,39300,CHAMPAGNOLE,39,D_39,FabLab Champagnole,http://www.fablab-champagnole.com/,fablabchampagnole@gmail.com,06 72 21 56 26,,,F,APTIC
5.454120,46.393877,16  place de la Mairie,39320,VAL SURAN,39,D_39,Association développement Aménagement,,,,,,F,
5.597825,46.868209,13 route de Colonne - LE VISENEY,39800,BERSAILLIN,39,D_39,c.la cle administrative,,,06 71 94 67 08,,,F,APTIC
3.152649,46.989419,14 bis rue Jeanne d'Arc,58000,NEVERS,58,D_58,Conseil départemental de la Nièvre - Service d'accompagnement au numérique,,,06 76 98 70 45,,,I,APTIC
3.143165,46.991958,7 rue du 13ème de ligne,58000,NEVERS,58,D_58,Onlineformapro,,,06 43 08 27 49,,,O,APTIC
6.152081,47.637076,19  rue du Praley  Espace de la Motte,70000,VESOUL,70,D_70,Onlineformapro,,,03 84 76 52 44,,,O,APTIC
5.590222,47.447873,6 rue Gambetta,70100,GRAY,70,D_70,Onlineformapro,,,06 43 08 27 49,,,O,APTIC
6.364494,47.815603,2 rue Lacépède,70300,LUXEUIL LES BAINS,70,D_70,FabLab des 3 lapins,,atelier@fablab3lapins.org,07 69 80 19 48,,,F,APTIC
5.847020,47.420000,9 chemin des Ecoliers,70700,BUCEY-Lès-GY,70,D_70,Fablab des Monts de Gy,http://fablab-montsdegy.fr,fablab-montsdegy@gmail.com,07 82 52 94 98,,,F,APTIC
4.831782,46.304775,42 rue tourneloup  Centre d'affaires Tourneloup,71000,MÂCON,71,D_71,Mon Assistant Numérique Mâcon ( Nicolas Numérique SAS),,,06 42 30 28 63,,,O,APTIC
4.059696,46.599447,place de l'église (entrée quai de l'Europe),71130,GUEUGNON,71,D_71,Syntaxe erreur 2.0,,,03 85 84 22 76,,,F,APTIC
46.886500,5.260590,5 place de la Mairie,71270,PIERRE DE BRESSE,71,D_71,Association Tremplin,www.ateliertremplin.fr,ateliertremplin@yahoo.fr,03 85 76 26 70,,,F,APTIC-RIN
4.730697,46.197181,921 route du Moulin à Vent,71570,ROMANECHE-THORINS,71,D_71,SOLUTIONS INGÉNIERIE DIGITAL FORMATION (SID FORMATION),,,06 81 52 74 10,,,O,
5.030519,47.316035,11  rue de l'Hôpital,21000,DIJON,21,D_21,Accueil général de la ville et du CCAS de Dijon,,,,,,I,DM
5.073953,47.310202,Atheneum. Centre culturel universitaire,21000,DIJON,21,D_21,Atheneum. Centre culturel universitaire,,,,,,M,
5.041585,47.319187,7 rue de l'école de droit,21000,DIJON,21,D_21,Bibliothèque jeunesse,,,,,,M,DM
5.043503,47.321138,1 place du théâtre,21000,DIJON,21,D_21,Bibliothèque La Nef,,,,,,M,DM
5.047603,47.340637,21 rue Balzac,21000,DIJON,21,D_21,Bibliothèque Maladière,,,,,,M,DM
5.057337,47.307995,2 boulevard Mansart,21000,DIJON,21,D_21,Bibliothèque Mansart,,,,,,M,DM
