lon,lat,code_postal,ville,departement,nom_structure,adresse,url_lieu,source,url_illustration,code_access,code_label,code_accomp
5.030519,47.316035,21000,DIJON,21,Accueil général de la ville et du CCAS de Dijon,11  rue de l'Hôpital,,Réseau ville de Dijon,,,,
5.073953,47.310202,21000,DIJON,21,Atheneum. Centre culturel universitaire,Atheneum. Centre culturel universitaire ,,,,,,
5.041585,47.319187,21000,DIJON,21,Bibliothèque jeunesse,7 rue de l'école de droit,,Réseau ville de Dijon,,,,
5.043503,47.321138,21000,DIJON,21,Bibliothèque La Nef,1 place du théâtre,,Réseau ville de Dijon,,,,
5.047603,47.340637,21000,DIJON,21,Bibliothèque Maladière,21 rue Balzac,,Réseau ville de Dijon,,,,
5.057337,47.307995,21000,DIJON,21,Bibliothèque Mansart,2 boulevard Mansart,,Réseau ville de Dijon,,,,
5.043198,47.319228,21000,DIJON,21,Bibliothèque Patrimoniale et d'études,3 rue de l'école de droit,,Réseau ville de Dijon,,,,
5.042764,47.325482,21000,DIJON,21,CCAS / Maison des seniors,Rue Mère Javouhey,,Réseau ville de Dijon,,,,
5.056111,47.301346,21000,DIJON,21,CCAS / Résidence Abrioux,26 rue du Commandant Abrioux,,Réseau ville de Dijon,,,,
5.030519,47.316035,21000,DIJON,21,"CCAS / Service des interventions sociales
",11 rue de l'hôpital,,Réseau ville de Dijon,,,,
5.069047,47.32968,21000,DIJON,21,Centre multimédia des grésilles,14  rue Camille Claudel,,Réseau ville de Dijon,,,,
5.063669,47.331768,21000,DIJON,21,Centre social des Grésilles,3-5 rue Jean XXIII,,Réseau ville de Dijon,,,,
5.035282,47.326441,21000,DIJON,21,Cercle Laïque Dijonnais,5  rue des fleurs,,Réseau ville de Dijon,,,,
5.049432,47.327347,21000,DIJON,21,eb-Lab Co-working,eb-Lab Co-working ,,,,,,
5.042991,47.350616,21000,DIJON,21,Espace Baudelaire,27  avenue Charles Baudelaire,,Réseau ville de Dijon,,,,
5.050782,47.328591,21000,DIJON,21,Espace Numérique Professionnel - CCI21,Espace Numérique Professionnel - CCI21 ,,,,,,
5.031579,47.315282,21000,DIJON,21,Kelle Fabrik,2  rue des Corroyeurs,https://kellefabrik.org/,,,,,
5.068101,47.332724,21000,DIJON,21,La Coursive Boutaric,33 place Galilée,https://www.la-coursive.fr/,,,,,
5.008154,47.319111,21000,DIJON,21,La Maison-Phare,2 allée de Grenoble,,Réseau ville de Dijon,,,,
5.040214,47.323159,21000,DIJON,21,L'Abscisse,6  impasse Quentin,https://fablab.coagul.org/Accueil,,,,,
5.041164,47.301142,21000,DIJON,21,Le Tempo,21  rue Maurice Ravel,,Réseau ville de Dijon,,,,
5.038086,47.322238,21000,DIJON,21,Le Village by CA Champagne-Bourgogne,67 rue des Godrans,https://www.levillagebyca.com/fr/node/14699,,,,,
5.078323,47.315035,21000,DIJON,21,Les Docks Numériques,64E  rue Sully,https://www.lesdocks.net/,,,,,
5.052016,47.350673,21000,DIJON,21,Mairie de quartier Toison d'or,10 bis place Granville,,Réseau ville de Dijon,,,,
5.065462,47.331255,21000,DIJON,21,Mairie de quartier des Grésilles,6 avenue des Grésilles,,Réseau ville de Dijon,,,,
5.003103,47.319288,21000,DIJON,21,Mairie de quartier Fontaine d'Ouche,13 place de la fontaine d'ouche,,Réseau ville de Dijon,,,,
5.057337,47.307995,21000,DIJON,21,Mairie de quartier Mansart,2 boulevard Mansart,,Réseau ville de Dijon,,,,
5.069047,47.32968,21000,DIJON,21,Médiathèque Champollion,14 rue Camille Claudel,,Réseau ville de Dijon,,,,
5.024485,47.314058,21000,DIJON,21,Médiathèque Port du canal,Place des Mariniers,,Réseau ville de Dijon,,,,
5.037009,47.324066,21000,DIJON,21,Mission Locale de l'arrondissement de Dijon,8 rue du Temple,mldijon.asso.fr,,,,,
5.047603,47.340637,21000,DIJON,21,MJC-Centre social Balzac-Maladière,21-25 rue Balzac,,Réseau ville de Dijon,,,,
5.015599,47.308963,21000,DIJON,21,MJC-Centre social des Bourroches,31 boulevard Eugène Fyot,,Réseau ville de Dijon,,,,
5.037763,47.331512,21000,DIJON,21,MJC-Centre social Montchapet,1 ter rue de Beaune,,Réseau ville de Dijon,,,,
5.049559,47.364205,21000,DIJON,21,Onlineformapro,38 Avenue Françoise Giroud,,,,,,
5.031579,47.315282,21000,DIJON,21,PANDA 1er mai,2  rue des Corroyeurs,,PANDA,,,,
5.015599,47.308963,21000,DIJON,21,PANDA Bourroches,31 boulevard Eugène Fyot,,PANDA,,,,
5.039781,47.308806,21000,DIJON,21,PANDA Chevreul,6  rue Joseph Milsand,,PANDA,,,,
5.008154,47.319111,21000,DIJON,21,PANDA Fontaine d'Ouche,2 allée de Grenoble,,PANDA,,,,
5.069047,47.32968,21000,DIJON,21,PANDA Grésilles,14  rue Camille Claudel,,PANDA,,,,
5.025971,47.320367,21000,DIJON,21,PANDA Jardin des Sciences,14 rue Jehan de Marville,,PANDA,,,,
5.008154,47.319111,21000,DIJON,21,PANDA Lab - Maison Phare MJC,2  allée de Grenoble,https://lamaisonphare.fr/,PANDA,,,,
5.042991,47.350616,21000,DIJON,21,PANDA Lab Baudelaire,25 avenue Charles Baudelaire,,PANDA,,,,
5.032554,47.333696,21000,DIJON,21,PANDA Montchapet,2H  rue Darius Milhaud,,PANDA,,,,
5.068201,47.312553,21000,DIJON,21,PANDA Université,Avenue Alain Savary,,PANDA,,,,
